제목,카테고리
[BK21] 제5회 2024 디지털금융포럼 개최 안내,교육/특강/프로그램
전문가 초청세미나 안내(2024년11월20일),교육/특강/프로그램
"[LLC/부산대법학연구소] 제17회 세미나 '법, 인간, 기술' 개최 안내",교육/특강/프로그램
[소프트웨어융합교육원] 2024 공동 SW산업세미나(4차) 신청안내(~11.19까지),교육/특강/프로그램
2024년도 제11회 영남여성학포럼 개최 안내,교육/특강/프로그램
[부산광역시] 2025 로봇올림피아드 세계대회 부대행사 개최 안내,교육/특강/프로그램
2024 한국다양성포럼 개최 안내,교육/특강/프로그램
법제처 한국법제연구원 주최_제1회 미래법제 국제포럼 개최 안내,교육/특강/프로그램
[KCOC/국무조정실] 정부-시민사회 ODA 합동포럼(8.25(금) 14:00 ~ / 온오프라인 병행) 개최 안내,교육/특강/프로그램
[에너지신산업 혁신융합대학] Energy Up! KNU 2024 에너지전환 ET2 세미나 [강원대학교 사업단],교육/특강/프로그램
사단법인 올 ‘전쟁범죄와 피해자의 인권’ 포럼 안내,교육/특강/프로그램
"2024학년도 2학기 물리학 튜터-튜티 프로그램 튜터 모집-3,4학년",교육/특강/프로그램
[미래자동차사업] 미래자동차 이차전지 제조공정 단기강좌(융합세미나) 신청 안내(1/9~10),교육/특강/프로그램
2025학년도 신입생 입학식 행사 개최 안내,교육/특강/프로그램
[학부 & 대학원] DAPCOC 부산대 마약예방교육 세미나 (재)안내,교육/특강/프로그램
DAPCOC 부산대 마약예방교육 2차 세미나 안내(11/20(수)),교육/특강/프로그램
[KISA/핀테크기술지원센터] 2023 핀테크순회세미나(온라인) Online Fintech Seminar,교육/특강/프로그램
[학사일정] [교직이수자 대상] 2024학년도 2학기 「교육봉사활동」 이수 안내,봉사활동
[모집] 2024학년도 2학기 핵심역량 강화를 위한 전공 집중형 튜터링 프로그램 참가자(~9월11일),봉사활동
[교직] 2025학년도 1학기 함께 성장하는 중등 빅아이(BIG-I) 대학생 학습튜터 추천 요청,봉사활동
2025년 국립부산과학관 봄학기 교육봉사단 모집,봉사활동
[지역사회기여센터] 2024학년도 캠코(한국자산관리공사) 함께 그리는 미래 멘토링 멘토 모집 안내,봉사활동
[점프] 2024 하반기 GKL과 함께하는 '청소년 미래인재 양성사업' 대학(원)생 교육봉사자 모집,봉사활동
학부] 2024학년도 2학기 부산맹학교 교육봉사자 모집 안내,봉사활동
[비교과] 튜터링 클래스 멘토와 멘티를 모집 합니다.,봉사활동
학부] 2025학년도 1학기 함께 성장하는 중등 빅아이(BIG-I) 대학생 학습튜터 모집,봉사활동
[지역사회기여센터] 2024학년도 대학생 학습지원 튜터링 프로그램 튜터 모집,봉사활동
[대학] 2024학년도 한국장학재단 다문화 및 탈북학생 멘토링 멘토 모집,봉사활동
2024학년도 2학기 한국장학재단 다문화 및 탈북학생 멘토링 프로그램 참여 멘토 모집 안내,봉사활동
[지역사회기여센터] 2024학년도 금정지역 작은도서관 멘토링 참여 멘토 모집,봉사활동
[채용] 부산외국인학교 해커톤 멘토 모집(Looking for Mentors for a Hackathon in Busan Foreign School),봉사활동
외국인 학생 「튜터링 프로그램」 안내 (~7.31),봉사활동
[공학교육혁신센터] 「IoT-X 캡스톤디자인 기술 멘토링」 참가 멘토 모집(~4/30),봉사활동
[국방부-EBS] 2024 국방부-EBS 교육멘토링 온라인 대학생 멘토 모집 안내,봉사활동
2024-2학기 경영학과 PNU BIZ 글로벌 튜터링 프로그램 참여 학생 모집 안내,봉사활동
[북구청소년문화의집] 청소년방과후아카데미 자원봉사자 멘토 모집,봉사활동
[지역사회기여센터] 2024학년도 캠코(한국자산관리공사) 함께 그리는 미래 멘토링 멘토 모집 안내,봉사활동
2024년 국립부산과학관 가을학기(1) 교육봉사단 모집 안내,봉사활동
[교직] 2025학년도 1학기 함께 성장하는 중등 빅아이(BIG-I) 대학생 학습튜터 신청 안내,봉사활동
2024학년도 제16기 선배와 손잡(Job)기 멘토 모집 공고,봉사활동
[한국교육방송공사] EBS 화상튜터링 멘토 모집,봉사활동
[국제협력실] 2024학년도 2학기 외국인 튜터링 프로그램(한국인 학부생) 모집(~8/19까지),봉사활동
2024년 국립부산과학관 가을학기(2) 교육봉사단 모집 안내,봉사활동
2024학년도 동래기초학력지원센터 또박또박 한글교실 멘토 모집,봉사활동
[금정구장애인복지관] 2025년 장애가정아동 멘토링 프로그램 성장멘토링 멘토 모집,봉사활동
2024학년도 2학기 중등 빅아이(BIG-I) 교육봉사 신청,봉사활동
[학생처] 2024학년도 한국장학재단 다문화 및 탈북학생 멘토링 농어촌 특별활동 멘토 모집 안내-면접전형 일정변경,봉사활동
"Jump on 멘토링 사업 멘토 모집 안내(장학금 제공, 여학생에 한함)",봉사활동
2024학년도 2학기 함께 성장하는 빅아이 대학생 학습튜터 신청 안내,봉사활동
[아이들과미래재단] 그루터기 학습멘토링 같이에듀 5기 대학생 멘토 모집 안내,봉사활동
[부산광역시해운대교육지원청] 「해운대 위캔두 계절학교」 관리 멘토 모집,봉사활동
[장학] H점프스쿨 현대자동차그룹 대학생 교육봉사단 12기 장학생 모집,봉사활동
<부산대학교-현대자동차그룹 대학생 교육봉사단 12기 장학샘을 모집합니다!>,봉사활동
[교직] 2024년 2학기 교육봉사활동 학점 신청 안내,봉사활동
[부산광역시남부교육지원청] 2024학년도 겨울방학「남부 위캔두 계절학교」대학생 관리 멘토 모집 안내,봉사활동
[학부] 부산진구 부전 청소년센터 겨울방학 교육봉사자 모집,봉사활동
2025년 국립부산과학관 겨울학기 교육봉사단 모집 안내,봉사활동
[아이들과미래재단] 그루터기 학습멘토링 같이에듀 5기 대학생 멘토 모집 안내,봉사활동
[부산서구학교밖청소년지원센터] 대학생 학습 멘토 모집,봉사활동
교육봉사활동(서동지역아동센터) 초등 학습 멘토 추가 모집 안내(24년 1학기),봉사활동
2024학년도 1학기 교육봉사활동 이수 안내,봉사활동
[소프트웨어융합교육원] 2025-1 SW기초 코딩존 & 멘토링 프로그램 멘토 모집 공고,봉사활동
[대전해든학교] 2024학년도 여름계절학교 교육봉사자 2차 추가 모집 공고,봉사활동
2024학년도 2학기 행림튜터링 운영 안내,봉사활동
학부] 2024학년도 캠코(한국자산관리공사) 함께 그리는 미래 멘토링 멘토 모집 안내,봉사활동
[BK21 대학원혁신] 2024학년도 2학기 석박사 학습튜터링 및 학습컨설팅 운영 안내,봉사활동
[비교과] 2024학년도 제16기 선배와 손잡(Job)기(멘토링 프로그램) 멘토 모집 연장 안내,봉사활동
2024-2학기 행림튜터링 운영 안내(~10/9),봉사활동
[비교과] 튜터링 클래스 멘토와 멘티를 추가 모집 합니다.(모집기한: 10월 03일까지),봉사활동
밀양 영어도서관 Reading Buddy 멘토 모집 안내,봉사활동
교육봉사활동 모집 안내,봉사활동
2024년 국립부산과학관 겨울학기(1~2월) 교육봉사단 모집,봉사활동
연제구학교밖청소년지원센터 교육봉사활동 참여자 모집,봉사활동
23년 가을 국립부산과학관 교육봉사단 모집 안내,봉사활동
[학부] 2025학년도 1학기 유학생 튜터링 프로그램 안내,봉사활동
[BK21 대학원혁신] 2024학년도 2학기 「석박사 학습튜터링 및 학습컨설팅」 운영 안내,봉사활동
【추천 대외활동】 2025년 LG전자 베스트샵 서포터즈,서포터즈
[LG사이언스파크] LG사이언스파크 서포터즈 이공계091 2기 모집(~2/2),서포터즈
2025년도 혈액관리본부 통·번역 서포터즈 모집,서포터즈
2025년 법제처 정책 서포터즈 모집 안내,서포터즈
[KB자산운용] 2024 KB 다이렉트 인덱싱 대학생 서포터즈 모집 (~10/3),서포터즈
[삼성중공업] 서포터즈 3기 모집 안내,서포터즈
［한국한의약진흥원］2024 전통의약 국제 심포지엄 홍보 및 한의대생 서포터즈 모집 안내,서포터즈
[남천1동] 독거노인 안부확인 『남치이 청소년 서포터즈』 자원봉사자 모집,서포터즈
[MAMF(맘프)2024 추진위원회] 문화다양성 축제 Together 서포터즈 모집,서포터즈
[낙동강유역환경청] 2025년 제10기 낙동강 SNS 기자단 모집 안내,서포터즈
[한국수출입은행] 「제24기 EDCF 서포터즈 모집」 안내,서포터즈
[부산광역시사회서비스원] 제2기 부산사회서비스원 서포터즈 '위프렌즈' 모집,서포터즈
【추천대외활동】딩동유 대학생 온라인 서포터즈 4기,서포터즈
[부산교통공사] 2025년 제14대 휴메트로 기자단 모집,서포터즈
부산광역시시각장애인복지관 서포터즈(자원봉사) 모집,서포터즈
한국환경산업기술원 대학생 서포터즈 에코프렌즈 13기 모집 (~02.16),서포터즈
BITS 부산공유대학 학생 서포터즈 모집 공고,서포터즈
한복 패션쇼 서포터즈(행사지원) 모집,서포터즈
[2024년 국가 레이더 활용 위험기상 국제 워크숍 서포터즈 모집],서포터즈
[부산광역시자원봉사센터] 「제4기 부산광역시자원봉사센터 대학생기자단」모집,서포터즈
[기타] [안중근의사기념사업회] 제5회 효창원독립평화축제 서포터즈 <단지동맹> 5기 모집(마감 1주일 전),서포터즈
★(사)한국지하수토양환경학회 제3기 학생기자단 모집 안내(~25.01.17),서포터즈
한국의약품안전관리원 2025 KIDS 서포터즈 모집,서포터즈
[부산광역시] 2024 복합문화공간『도모헌』홍보 청년 서포터즈 모집,서포터즈
[수영구] 「제10기 수영구 SNS 서포터즈」 모집 안내,서포터즈
[(사)부산네오필하모닉오케스트라] 네오필하모닉오케스트라(네포터) 대학생 온라인 서포터즈 모집,서포터즈
[학부 & 대학원] BITS 부산공유대학 학생 서포터즈(BITS 크루) 모집 안내,서포터즈
【추천대외활동】 2024 제4기 북극케어 서포터즈 모집,서포터즈
하나은행 대학생 서포터즈 모집 안내(수료 시 채용 우대),서포터즈
(사)한국지하수토양환경학회 학생기자단 모집,서포터즈
한-아세안 ICT 융합빌리지 기자단,서포터즈
[주아세안대표부] 2023 한-아세안 온라인서포터즈 KOREA-ASEAN Online Supporters,서포터즈
[NAVER] 네이버 AI RUSH 앰배서더 프로그램 (~7/3),서포터즈
[학부] 사범대와 교직과정 이수 학생을 위한 글로컬 에듀 학생 서포터즈 Uni Club 모집,서포터즈
글로컬 에듀 학생 서포터즈(유니클럽) 모집 안내,서포터즈
에너지UP 서포터즈 홍보,서포터즈
국토교통과학기술진흥원 2024 KAIA 서포터즈 6기 모집 (~6/23),서포터즈
[첨단분야혁신융합대학사업] 참여학과 에너지UP 서포터즈 모집(~6/28),서포터즈
「글로컬 에듀 학생 서포터즈(유니클럽)」 프로그램 참가자 모집 (~7/31),서포터즈
[첨단분야 혁신융합대학 사업] 「2024 혁신융합대학 에너지UP 서포터즈」 모집 안내,서포터즈
제25기 한-아세안센터 블로그 기자단 모집 ASEAN-Korea Centre 25th Blog Reporter Application Form,서포터즈
한국어촌어항공단 서포터즈 4기 모집,서포터즈
2025학년도 1학기 학부 등록금재원 우선선발장학금 신청 안내(1/13(월)~1/17(금)),장학금
[장학] 2025-1학기 국가근로장학금 1차 신청 안내(11.21.~12.26.),장학금
[장학] 2025-1학기 국가장학금 1차 신청 안내(11.21.~12.26.),장학금
[장학·멘토링] 2025학년도 1학기 학부 수시 신입생 및 재학생 우선선발장학금 신청 안내,장학금
2024년도 2학기 고졸 후학습자 장학사업(희망사다리 II유형) 신규장학생 2차 신청 안내,장학금
2024학년도 2학기 경제사정 곤란 대학생 국가장학금 지원 신청 안내 (~12/4),장학금
2025학년도 1학기 국가장학금 1차 신청기간 안내(11/21~12/26),장학금
[장학] 24.2학기 2차 국가장학금 신청 기간 안내,장학금
2025학년도 1학기 국가근로장학금 2차 신청 안내,장학금
2024년도 2학기 고졸 후학습자 장학사업(희망사다리 II유형) 신규 장학생 신청기간 연장 안내,장학금
2024학년도 동계방학 국가근로장학생 신청 안내:12.9(월) 12시까지,장학금
[현대엘리베이터] 2024 하반기 연구장학생 채용(9/23),장학금
2학기 국가장학금 1차 신청 연장 안내,장학금
2025학년도 1학기 학업지원장학금 사전 신청 안내,장학금
2025학년도 1학기 장학(연구)조교 장학금 사전 신청 안내,장학금
[경상남도간호사회] 2024년도 백양이영복장학금 신청자 모집 안내(대한간호협회),장학금
고졸 후학습자 장학사업(희망사다리 II유형) 신규장학생 신청 기간,장학금
2025학년도 1학기 국가근로장학금 1차 신청 안내,장학금
[장학금] 2024년 2학기 중소기업 취업연계 장학사업(희망사다리Ⅰ유형) 학생 신청기간 안내,장학금
"[산업AI특성화] 2024학년도 2학기 사업 안내(멘토링,동아리,대외활동, 근로장학생)",장학금
2024-동계 국가근로장학생 선발 안내(~12/9(월) 09시까지),장학금
[2024-1] 외국인 근로장학생 모집 (마감),장학금
[현대제철] 2024년 하반기 현대제철 국내/해외 연구장학생 모집(~9/19),장학금
2024년 푸른등대 삼성기부장학사업 신규장학생 선발(~4/18),장학금
2024년도 2학기 고졸 후학습자 장학사업(희망사다리 Ⅱ유형) 신규 장학생 신청 안내,장학금
2024학년도 경영대학 남운장학금 장학생 선발(~11/20(수) 16시까지),장학금
"2025년 1학기 저소득(기초, 차상위) 대학생 대상 주거안정장학금 신청 안내",장학금
[EES융합전공] 2024학년도 에너지신산업 성적 우수 장학금 신청 안내 [에너지신산업 혁신융합대학],장학금
2025학년도 1학기 국가우수(이공계) 장학금 계속장학생 중간평가 실시 안내,장학금
[학부] 2024학년도 2학기 중소기업 취업연계 장학사업(희망사다리1유형) 학생 신청기간 안내,장학금
고졸 후학습자 장학사업(희망사다리 II유형) 신규장학생 신청 기간,장학금
[일반대학원] 2024년 2학기 누리장학사업 장학생 신청 안내,장학금
[장학] 2024-2. 학부 등록금재원 우선선발장학금 신청 안내,장학금
[일반대학원] 2025년 누리장학사업 장학생 신청 안내,장학금
[장학·멘토링] 2025학년도 1학기 국가장학금 1차 신청 안내,장학금
2024학년도 국가우수장학생 이공계 장학금 3학년 1학기생 추천 안내,장학금
2024학년도 외부장학금 수혜 장학생 감사의 편지 제출 안내,장학금
"2024학년도 발전기금(NH농협은행 장학금, 이종화장학금) 추천 서류",장학금
2024학년도 국가우수장학금 이공계 3학년 추천,장학금
2024학년도 2학기 조상도장학금 장학생 선발 안내(각 학년별 총대),장학금
[BK 24.2학기 BK Bridge _학석연계과정 대상 장학금 신청서류 안내],장학금
2024 하반기 현대엘리베이터 연구장학생 채용,장학금
24.1학기 학생과 미경유 교내.외 장학금 수혜현황 제출 요청,장학금
[장학] 2024학년도 2학기 발전기금(일반) 장학생 'NH농협장학금' 선발 안내(~12/18까지),장학금
[창업지원부] 2024년도 발전기금회계 목적사업 산학협력단 창업장학금 모집 공고,장학금
"2025학년도 1학기 국가장학금 1차 신청 안내(재안내, ~12/26(목) 18시)",장학금
경제적 사정 곤란 대학생 국가장학금 신청 안내,장학금
[공고] 산학협력단 창업장학금 안내,장학금
[공고] 2023년 1학기 고졸 후학습자 장학금(희망사다리 II유형) 신규장학생 신청 안내,장학금
[공고] 2023년 대통령과학장학금 신규 장학생 선발 안내,장학금
[공고] 「2023년도 대만 <화어문장학금> 어학연수 장학생 모집,장학금
2024학년도 2학기 경제사정 곤란 대학생 국가장학금 지원 신청 안내,장학금
2025학년도 1학기 단위기관 협정에 따른 교환학생 추천 요청 및 PNU 장학금 지원 안내,장학금
[2024-2] 외국인 근로장학생 모집 GSIS Office Assistant International Student Recruitment,장학금
2025년 1학기 푸른등대 기부장학금 신규장학생 선발 안내,장학금
외부장학금 수혜 장학생 감사의 편지 제출 관련 서식,장학금
2024년 2학기 장학금 신청 안내(~9/30(월)까지),장학금
2024학년도 치의학전문대학원 장학금 안내,장학금
[BK21 대학원혁신] 2024학년도 BK21 참여대학원생 신입생 장학금 지원사업 안내,장학금
[DB김준기문화재단] 2025 DB 드림리더 장학생 모집 안내,장학금
